Timestamp,How heavy is Ian's dog? Please enter a number
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10/06/2018 10:02:19,45
10/06/2018 10:02:45,18
10/06/2018 10:02:45,30
10/06/2018 10:02:48,10
10/06/2018 10:02:48,20
10/06/2018 10:02:49,13
10/06/2018 10:02:50,12
10/06/2018 10:02:52,16
10/06/2018 10:02:52,20
10/06/2018 10:02:52,16
10/06/2018 10:02:53,10
10/06/2018 10:02:53,20
10/06/2018 10:02:54,6
10/06/2018 10:02:54,12
10/06/2018 10:02:55,20
10/06/2018 10:02:55,15
10/06/2018 10:02:55,8
10/06/2018 10:02:55,20
10/06/2018 10:02:56,10
10/06/2018 10:02:57,23kg
10/06/2018 10:02:57,14
10/06/2018 10:02:57,15
10/06/2018 10:02:57,7
10/06/2018 10:02:58,15
10/06/2018 10:02:58,12
10/06/2018 10:02:59,8
10/06/2018 10:02:59,16
10/06/2018 10:03:00,3
10/06/2018 10:03:00,25
10/06/2018 10:03:00,42
10/06/2018 10:03:01,0
10/06/2018 10:03:01,15
10/06/2018 10:03:01,5
10/06/2018 10:03:01,20kg
10/06/2018 10:03:02,5
10/06/2018 10:03:03,NaN
10/06/2018 10:03:04,5
10/06/2018 10:03:04,15
10/06/2018 10:03:04,20
10/06/2018 10:03:04,9.333333333
10/06/2018 10:03:04,15
10/06/2018 10:03:05,8
10/06/2018 10:03:08,35
10/06/2018 10:03:08,23
10/06/2018 10:03:08,9
10/06/2018 10:03:09,12
10/06/2018 10:03:09,0
10/06/2018 10:03:10,7
10/06/2018 10:03:10,20
10/06/2018 10:03:12,3
10/06/2018 10:03:13,10
10/06/2018 10:03:13,14.365
10/06/2018 10:03:14,10
10/06/2018 10:03:14,9
10/06/2018 10:03:15,0
10/06/2018 10:03:17,20
10/06/2018 10:03:22,67
10/06/2018 10:03:27,49
10/06/2018 10:03:29,33.9
10/06/2018 10:03:29,12
10/06/2018 10:03:29,15
10/06/2018 10:03:30,13
10/06/2018 10:03:32,20
10/06/2018 10:03:33,34
10/06/2018 10:03:37,50
10/06/2018 10:03:40,10.1
10/06/2018 10:03:41,is text allowed here?
10/06/2018 10:03:41,10
10/06/2018 10:03:43,34
10/06/2018 10:03:43,7
10/06/2018 10:03:43,20
10/06/2018 10:03:46,14
10/06/2018 10:03:50,12
10/06/2018 10:03:51,43
10/06/2018 10:03:55,12
10/06/2018 10:03:57,18
10/06/2018 10:04:00,25
10/06/2018 10:04:02,20
10/06/2018 10:04:06,10
10/06/2018 10:04:06,20 kg
10/06/2018 10:04:11,10
10/06/2018 10:04:17,8
10/06/2018 10:04:19,8
10/06/2018 10:04:20,30
10/06/2018 10:04:23,7.3
10/06/2018 10:04:24,5
10/06/2018 10:04:40,14.7
10/06/2018 10:04:40,25
10/06/2018 10:04:43,25kg
10/06/2018 10:05:01,100
10/06/2018 10:07:33,25 pounds
10/06/2018 10:07:45,20
10/06/2018 10:10:39,14
10/06/2018 10:11:59,4kg
10/06/2018 10:12:01,14
10/06/2018 10:12:39,4
10/06/2018 10:12:47,13
10/06/2018 10:12:52,15
10/06/2018 10:13:21,8
10/06/2018 10:23:49,8
10/06/2018 11:12:14,15
